,name,seller,seller_link,freq_bought,freq_bought_link,link_to_all_reviews,number of usb 2.0 ports,is discontinued by manufacturer,domestic shipping,international shipping,computer memory type,department,manufacturer,additional features,brand name,material care instructions,max screen resolution,connectivity technologies,processor count,measurement system,item package quantity,hard drive rotational speed,hard drive interface,expansion,warranty description,memory speed,line size,national stock number,model,optical drive type,color,voltage,screen resolution,ASIN,assembled width,card description,language,other display features,size,ram,plug profile,product dimensions,item weight,rating,hardware platform,average battery life (in hours),pricing,light direction,os,chipset brand,display type,operating system,finish types,color screen,weight,part number,style,bulb features,best sellers rank,batteries,number of lights,item model number,contains,switch style,special features,installation method,average life,certification,wireless type,processor brand,date first available,item display height,wattage,color name,assembled height,shape,display style,batteries included?,number of items,included components,switch installation type,batteries required?,display technology,series,head style,material type,is assembly required?,power source,color temperature,colour,cover included,compatible devices,type of bulb,shade color,rear webcam resolution,shade material,specific uses,release date,connector type,flash memory size,specification met,number of usb 3.0 ports,item dimensions  lxwxh,number of pieces,graphics card ram size,folding,standing screen display size,batteries required,material,package dimensions,manufacturer part number,binding,assembled length,graphics coprocessor,brand
215,"Lenovo Legion Y25-25 24.5-inch FHD LCD Gaming Monitor, 16:9, LED Backlit, AMD FreeSync Premium, 240Hz, 1ms Response Time, 66AAGAC6US",,,"DisplayPort to DisplayPort Cable 6.6ft, iVANKY DP 1.2 Cable [4K@60Hz, 2K@165Hz, 1080P@240Hz…",/DisplayPort-Braided-High-Speed-Display-Compatible/dp/B08BZ6BHTL/ref=pd_bxgy_2/135-5486634-6191309?_encoding=UTF8&pd_rd_i=B08BZ6BHTL&pd_rd_r=a040373c-0da9-47a2-b82c-0f32df34ab6d&pd_rd_w=dAOQa&pd_rd_wg=Lm0Lg&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=Z66K6RBM1Z9Q5XQGNKQJ&psc=1&refRID=Z66K6RBM1Z9Q5XQGNKQJ,https://www.amazon.com//Lenovo-Legion-Y25-25-24-5-inch-Monitor/product-reviews/B08DP6K1ZT/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.0,,,,,,Lenovo,,,,1920 x 1080 Pixels,,,,,,,,,,,,,,Black,,,B08DP6K1ZT,,,,,,,,9.86 x 22 x 15.06 inches,16.5 pounds,4.5,,,,,,,,,,,,,,,"#5,729 in Electronics ( See Top 100 in Electronics ) #313 in Computer Monitors",,,66AAGAC6US,,,,,,,,,"August 1, 2020",,,,,,,,,,,,,Y25-25,,,,,,,,,,,,,,,,,,,9.86 x 22 x 15.06 inches,,,,24.5 Inches,,,,,,,,Lenovo
216,"12 Inch Monitor, Small HDMI Monitor with Full HD 1920x1080P Display, IPS Monitor with AV HDMI BNC VGA Input, Built-in Speaker, VESA Hole, Metal Housing for PC, CCTV, Security Camera",APROTII Direct,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2VVTMR4FP2BSG&isAmazonFulfilled=1,,,https://www.amazon.com//Monitor-1920x1080P-Display-Speaker-Security/product-reviews/B08G4PJTH7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,China OEM,,,,,,,,,,,,,,,,,,,,,B08G4PJTH7,,,,,,,,,3.78 pounds,4.8,,,,,,,,,,,,,,,"#71,787 in Electronics ( See Top 100 in Electronics )",,,,,,,,,,,,"August 18, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.02 x 12.36 x 2.87 inches,,,,,
217,"MSI 34 Ultra Wide QHD RGB LED Non-Glare Super Narrow Bezel 1ms HDR Ready 3440 x 1440 100Hz Refresh Rate Free Sync Height Adjustable Curved Gaming Monitor (Optix MAG342CQRV), Black",,,,,https://www.amazon.com//MSI-Non-Glare-Adjustable-Optix-MAG342CQRV/product-reviews/B08KWNK6HS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,MSI COMPUTER,,,,3440 x 1440,,,,,,,,,,,,,,Black,,,B08KWNK6HS,,,,,,,,31.89 x 19.09 x 8.27 inches,21 pounds,4.4,,,,,,,,,,,,,,,"#8,101 in Electronics ( See Top 100 in Electronics ) #400 in Computer Monitors",,,Optix MAG342CQRV,,,,,,,,,"October 8, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.89 x 19.09 x 8.27 inches,,,,34 Inches,,,,,,,,MSI
218,NB North Bayou Dual Monitor Desk Mount Stand Full Motion Swivel Computer Monitor Arm Fits 2 Screens up to 32'' with Load Capacity 6.6~26.4lbs for Each Monitor F195A-B,NB North Bayou,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2V6O7OTRZHL3U&isAmazonFulfilled=1,HP 24mh FHD Monitor - Computer Monitor with 23.8-Inch IPS Display (1080p) - Built-In Speakers and…,https://www.amazon.com/HP-24mh-FHD-Monitor-Built/dp/B08BF4CZSV/ref=pd_bxgy_2/134-1779603-8263108?_encoding=UTF8&pd_rd_i=B08BF4CZSV&pd_rd_r=7fd489a6-b25f-415c-a1ad-ca8afcb0b3bb&pd_rd_w=YbUS8&pd_rd_wg=VOFGG&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=V6HER60YQBV1HC6EW4EW&psc=1&refRID=V6HER60YQBV1HC6EW4EW,https://www.amazon.com//NB-North-Bayou-Computer-6-6-26-4lbs/product-reviews/B0872SFZKX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,"KUNSHAN HONGJIE ELECTRONICS CO., LTD",,,,,,,,,,,,,,,,,,Black,,,B0872SFZKX,,,,,,,,,17.8 pounds,4.6,,,,,,,,,,,,,,,"#10,804 in Office Products ( See Top 100 in Office Products ) #203 in Monitor Arms & Monitor Stands",,,,,,,,,,,,"April 14, 2020",,,,,,,,,,,,,,,Aluminum,,,,,,,,,,,,,,,,,,,,,,,,17.32 x 11.77 x 5.47 inches,F195A-New,,,,NB North Bayou
219,"Samsung SH650 Series 27 inch FHD 1920x1080 Desktop Monitor for Business, HDMI, DisplayPort, USB Hub, VESA mountable, 3-Year Warranty (S27H650FDN)",,,Amazon Basics DisplayPort to DisplayPort HD Display Cable - 6 Feet,/AmazonBasics-DisplayPort-Cable-Feet/dp/B01J8S6X2I/ref=pd_bxgy_2/134-2880627-1706767?_encoding=UTF8&pd_rd_i=B01J8S6X2I&pd_rd_r=8dedb9be-c3f2-4f4b-b34d-cb207606f0a3&pd_rd_w=CrDWA&pd_rd_wg=tdtKa&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=P3M8J2K6QTXFP6NRFP9F&psc=1&refRID=P3M8J2K6QTXFP6NRFP9F,https://www.amazon.com//Samsung-Screen-LED-Lit-Monitor-S27H650FDN/product-reviews/B0713M1H6V/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2.0,No,,,,,Samsung,,,,1920 x 1080 Pixels,,,,,,,,,,,,,,Black,,,B0713M1H6V,,,,,,,,24.8 x 9.3 x 21.6 inches,10.4 pounds,4.6,,,,,,,,,,,,,,,"#7,360 in Electronics ( See Top 100 in Electronics ) #378 in Computer Monitors",,,LS27H650FDNXZA,,,,,,,,,"April 21, 2017",,,,,,,,,,,,,S27H650FDN,,,,,,,,,,,,,,,,,,,24.8 x 9.3 x 21.6 inches,,,,27 Inches,,,,,,,,Samsung Business
220,27 Inch 16:9 Aspect Ratio Computer Privacy Screen Filter for Widescreen Computer Monitor 23.6x13.3 Anti-Glare - Anti-Scratch Protector Film for Data Confidentiality - We Offer 2 Different 27 Sizes,"Vintez Technologies, Inc.",https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2ZV89KLONRQSL&isAmazonFulfilled=1,,,https://www.amazon.com//Inch-Widescreen-Anti-Glare-Anti-Scratch-Confidentiality/product-reviews/B077J4PGRQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,No,,,,Computer Privacy Screen Filter,VINTEZ,,,,,,,,,,,,,,,,,,,,,B077J4PGRQ,,,,,,,,18.6 x 0.01 x 10.6 inches,13.8 ounces,4.3,,,,,,,,,,,,,,,#7 in Monitor Anti-Glare & Privacy Filters,,,vin-110-27.0-BS,,,,,,,,,"November 16, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,"MSI 24” FHD (1920 x 1080) Non-Glare with Super Narrow Bezel 144Hz 1ms 16:9 HDMI/DP AMD Radeon FreeSync IPS Gaming Monitor (OPTIX G241), Black",,,,,https://www.amazon.com//MSI-Non-Glare-Super-Narrow-Bezel/product-reviews/B083K17XLH/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0,,,,,,MSI COMPUTER,,,,1920 x 1080,,,,,,,,,,,,,,Black,,1920 x 1080,B083K17XLH,,,,,,,,24.1 x 8.9 x 17.8 inches,7.28 pounds,4.7,,,,,,,,,,,,,,,"#1,497 in Electronics ( See Top 100 in Electronics ) #96 in Computer Monitors",,,Optix G241,,,,,,,,,"January 6, 2020",,,,,,,,,,,,,OPTIXG241,,,,AC,,,,,,,,,,,,,,1.0,24.1 x 8.9 x 17.8 inches,,,,24,,,,,,,,MSI
222,"Single Monitor Mount - Articulating Gas Spring Monitor Arm, Adjustable Vesa Mount Desk Stand with Clamp and Grommet Base - Fits 17 to 27 Inch LCD Computer Monitors 4.4 to 14.3lbs",Dream Fit 2020,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AAO6TDKV4R7PK&isAmazonFulfilled=1,HP 24mh FHD Monitor - Computer Monitor with 23.8-Inch IPS Display (1080p) - Built-In Speakers and…,https://www.amazon.com/HP-24mh-FHD-Monitor-Built/dp/B08BF4CZSV/ref=pd_bxgy_2/145-6074085-6194908?_encoding=UTF8&pd_rd_i=B08BF4CZSV&pd_rd_r=7bae54b5-02e5-45b1-8348-a4389dcbee78&pd_rd_w=LSDue&pd_rd_wg=9pbQi&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=30A0CMW5WJKC7GT7CHRE&psc=1&refRID=30A0CMW5WJKC7GT7CHRE,https://www.amazon.com//Single-Monitor-Mount-Articulating-Adjustable/product-reviews/B07T3KCQ94/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,HUANUO,,,,,,,,,,,,,,,,,,,,,B07T3KCQ94,,,,,,,,,6.38 pounds,4.6,,,,,,,,,,,,,,,"#1,118 in Office Products ( See Top 100 in Office Products ) #22 in Monitor Arms & Monitor Stands",,,HNSS6,,,,,,,,,"July 26, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.42 x 12.17 x 4.09 inches,HNSS6,,,,HUANUO
223,"IMLIB Triple Monitor Stand - Full Motion Articulating Gas Spring Monitor Mount for 3 Computer Screens Up to 27 inch, Each Arm Holds Up to 17.6 lbs",TUOPU PRODUCTS,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3PV54YQSIUTRR&isAmazonFulfilled=1,HP 24mh FHD Monitor - Computer Monitor with 23.8-Inch IPS Display (1080p) - Built-In Speakers and…,https://www.amazon.com/HP-24mh-FHD-Monitor-Built/dp/B08BF4CZSV/ref=pd_bxgy_2/139-2681243-8987855?_encoding=UTF8&pd_rd_i=B08BF4CZSV&pd_rd_r=c38a384a-020d-4586-b293-191ffa1096c4&pd_rd_w=S3cxL&pd_rd_wg=U8lLr&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=KGBW6EP950D05KSPD3F5&psc=1&refRID=KGBW6EP950D05KSPD3F5,https://www.amazon.com//IMLIB-Triple-Monitor-Stand-Articulating/product-reviews/B08GC62R8M/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,Imlib,,,,,,,,,,,,,,,,,,Black,,,B08GC62R8M,,,,,Triple Mount,,,,15.31 pounds,4.6,,,,,,,,,,,,,,,"#20,762 in Office Products ( See Top 100 in Office Products ) #326 in Monitor Arms & Monitor Stands",,,,,,,,,,,,"September 24, 2020",,,,,,,,,,,,,,,"Aluminum, Steel",,,,,,,,,,,,,,,,,,,,,,,,15.35 x 12.6 x 6.69 inches,IL003,,,,Imlib
224,"Portable Monitor - Metal Frame BC Master 15.6'' 1080P 178° IPS 60Hz FHD Eye Care Screen Ultra Slim Mobile Monitor with USB C/Mini HDMI/Micro USB Port for Phone, Laptop, PC, MAC, Xbox PS3/4 and More",YOJOO Direct,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AMF6T2T2EUZ1F&isAmazonFulfilled=1,,,https://www.amazon.com//Portable-Monitor-Master-Screen-Mobile/product-reviews/B08JGL3WWK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,BCMASTER,,,,1920 x 1080,,,,,,,,,,,,,,Blue,5 volts,,B08JGL3WWK,,,,,,,,,1.3 pounds,3.8,,,,,,,,,,,,,,,"#8,201 in Electronics ( See Top 100 in Electronics ) #406 in Computer Monitors",,,T15A,,,,,,,,,"September 18, 2020",,,,,,,,,,,,,T15A,,,,,,,,,,,,,,,,,,,,,,,15.6 Inches,,,15.94 x 10.87 x 2.44 inches,,,,,BCMASTER
225,Thinlerain 24 Inch 1080p 2ms 144 Hz Gaming Monitor | 144Hz or 165 Hz Refresh Rate | 2ms Response Time | VESA | Display Port & 1 x HDMI & USB | PC Gaming Monitor,Thinlerain-us,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3GTOO8QYFPA4E&isAmazonFulfilled=1,,,https://www.amazon.com//Thinlerain-Monitor-Refresh-Response-Display/product-reviews/B08QMPF7G9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,Thinlerain,,,,,,,,,,,,,,,,,,,,,B08QMPF7G9,,,,,,,,21.6 x 12.9 x 1 inches,8.78 pounds,3.9,,,,,,,,,,,,,,,"#44,540 in Electronics ( See Top 100 in Electronics ) #1,287 in Computer Monitors",,,HD240-144,,,,,,,,,"December 15, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,"Samsung Business SH850 Series 24 Inch QHD 2560x1440 Desktop Monitor for Business (in White) with USB-C, HDMI, DisplayPort, 3-Year Warranty, TAA (S24H851QFN)",,,,,https://www.amazon.com//Samsung-2560x1440-Business-DisplayPort-S24H851QFN/product-reviews/B07STYFWC5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.0,,,,,,Samsung,,,,2560 x 1440 Pixels,,,,,,,,,,,,,,White,,,B07STYFWC5,,,,,,,,21.3 x 9.3 x 20.6 inches,14.3 pounds,4.5,,,,,,,,,,,,,,,"#8,915 in Electronics ( See Top 100 in Electronics ) #435 in Computer Monitors",,,LS24H851QFNXZA,,,,,,,,,"June 11, 2019",,,,,,,,,,,,,S24H851QFN,,,,,,,,,,,,,,,,,,1.0,21.3 x 9.3 x 20.6 inches,,,,23.8 Inches,,,,,,,,Samsung Business
227,"Dual Monitor Stand - Gas Spring Monitor Mount with Laptop Tray Fit Two 13 to 27 Inch Flat Curved Computer Screens and 10 to 17 Inch Notebooks with C Clamp, Grommet Mounting Base",yuetingchunfeng,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3DOMI70TVBHQ&isAmazonFulfilled=1,HP 24mh FHD Monitor - Computer Monitor with 23.8-Inch IPS Display (1080p) - Built-In Speakers and…,https://www.amazon.com/HP-24mh-FHD-Monitor-Built/dp/B08BF4CZSV/ref=pd_bxgy_2/144-6228085-7088820?_encoding=UTF8&pd_rd_i=B08BF4CZSV&pd_rd_r=4a849dce-85ae-4311-bf23-bd5335db50f8&pd_rd_w=SDXks&pd_rd_wg=MDKnw&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=XPMM08RW255N8FKGE4CH&psc=1&refRID=XPMM08RW255N8FKGE4CH,https://www.amazon.com//Dual-Monitor-Stand-Computer-Notebooks/product-reviews/B08DNTVY8Y/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,HUANUO,,,,,,,,,,,,,,,,,,,,,B08DNTVY8Y,,,,,,,,,19.31 pounds,4.2,,,,,,,,,,,,,,,"#10,027 in Office Products ( See Top 100 in Office Products ) #189 in Monitor Arms & Monitor Stands",,,,,,,,,,,,"September 17, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.68 x 12.64 x 7.64 inches,HN-TS4B,,,,HUANUO
228,NB North Bayou Monitor Desk Mount Stand Full Motion Swivel Monitor Arm with Gas Spring for 17-30''Monitors(Within 4.4lbs to 19.8lbs) Computer Monitor Stand F80,NB North Bayou,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2V6O7OTRZHL3U&isAmazonFulfilled=1,HP 24mh FHD Monitor - Computer Monitor with 23.8-Inch IPS Display (1080p) - Built-In Speakers and…,https://www.amazon.com/HP-24mh-FHD-Monitor-Built/dp/B08BF4CZSV/ref=pd_bxgy_2/134-3845984-3493921?_encoding=UTF8&pd_rd_i=B08BF4CZSV&pd_rd_r=a0906c92-d48c-4d1d-8817-303a5c91b767&pd_rd_w=sXn5o&pd_rd_wg=odxAz&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=9W56YDCX5PXYMGXMYFCF&psc=1&refRID=9W56YDCX5PXYMGXMYFCF,https://www.amazon.com//North-Bayou-Monitor-Computer-14-3lbs/product-reviews/B01AI2YGK4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,No,,,,,"KUNSHAN HONGJIE ELECTRONICS CO., LTD",,,,,,,,,,,,,,,,,,Black,,,B01AI2YGK4,,,,,,,,15.16 x 11.22 x 3.74 inches,4.63 pounds,4.5,,,,,,,,,,,,,,,"#1,151 in Office Products ( See Top 100 in Office Products ) #23 in Monitor Arms & Monitor Stands",,,HETI02,,,,,,,,,"January 14, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.16 x 11.22 x 3.74 inches,,,,,,,,,,,,NB North Bayou
229,ViewSonic VX2758-P-MHD 27 Inch Frameless 1080p 144Hz 1ms Gaming Monitor with FreeSync Premium Eye Care HDMI and DisplayPort,,,,,https://www.amazon.com//ViewSonic-VX2758-P-MHD-Frameless-FreeSync-DisplayPort/product-reviews/B07SC5NH91/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,ViewSonic,,,,1920 x 1080 Pixels,,,,,,,,,,,,,,Black,,FHD 1080p,B07SC5NH91,,,,,,,,24.2 x 7.4 x 17.7 inches,13.3 pounds,4.6,,,,,,,,,,,,,,,"#16,068 in Electronics ( See Top 100 in Electronics ) #647 in Computer Monitors",,,VX2758-P-MHD,,,,,,,,,"June 21, 2019",,,,,,,,,,,,,VX2758-P-MHD,,,,AC,,,,,,,,,,,,,,,24.2 x 7.4 x 17.7 inches,,,,27 Inches,,,,,,,,ViewSonic
230,MSI Full HD Non-Glare 1ms 1920 x 1080 144Hz Refresh Rate USB/DP/HDMI FreeSync 24”Gaming Curved Monitor (Optix MAG240CR) - Black,,,,,https://www.amazon.com//MSI-Non-Glare-FreeSync-Optix-MAG240CR/product-reviews/B089Q5K7GK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,MSI COMPUTER,,,,1920 x 1080 Pixels,,,,,,,,,,,,,,Black,,1920 x 1080,B089Q5K7GK,,,,,,,,21.13 x 2.25 x 12.6 inches,15 pounds,4.6,,,,,,,,,,,,,,,"#7,003 in Electronics ( See Top 100 in Electronics ) #359 in Computer Monitors",,,Optix MAG240CR,,,,,,,,,"June 5, 2020",,,,,,,,,,,,,Optix MAG240CR,,,,AC,,,,,,,,,,,,,,,21.13 x 2.25 x 12.6 inches,,,,24 Inches,,,,,,,,MSI
231,ViewSonic VX2458-MHD 24 Inch 1080p 1ms 144Hz Gaming Monitor with FreeSync Premium Flicker-Free and Blue Light Filter HDMI and DP,,,,,https://www.amazon.com//ViewSonic-VX2458-MHD-Monitor-FreeSync-Flicker-Free/product-reviews/B07JK6XMSN/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,No,,,,,ViewSonic,,,,1920 x 1080 Pixels,,,,,,,,,,,,,,Black,,FHD 1080p,B07JK6XMSN,,,,,,,,9 x 23.2 x 16.6 inches,9 pounds,4.6,,,,,,,,,,,,,,,"#9,345 in Electronics ( See Top 100 in Electronics ) #461 in Computer Monitors",,,VX2458-MHD,,,,,,,,,"October 1, 2018",,,,,,,,,,,,,VX2458-MHD,,,,AC,,,,,,,,,,,,,,,9 x 23.2 x 16.6 inches,,,,24 Inches,,,,,,,,ViewSonic
232,"Dark Matter by Monoprice 34in Curved Ultrawide Gaming Monitor - 21:9, 1500R, UWQHD, 3440x1440p, 144Hz, 4ms GTG, DisplayHDR 400, AMD FreeSync, Height Adjustable Stand, Quantum Dot, VA, Black (140776)",,,,,https://www.amazon.com//Matter-Monoprice-Curved-Ultrawide-Monitor/product-reviews/B088LX5K32/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,Monoprice,,,,3440 x 1440,,,,,,,,,,,,,,Black,,,B088LX5K32,,,,,,,,35.7 x 7.2 x 19.2 inches,22.9 pounds,4.4,,,,,,,,,,,,,,,"#15,853 in Electronics ( See Top 100 in Electronics ) #644 in Computer Monitors",,,140776,,,,,,,,,"May 14, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.7 x 7.2 x 19.2 inches,,,,34 Inches,,,,,,,,Monoprice
233,"Acer XF270H Bbmiiprx 27 Full HD (1920 x 1080) Zero Frame TN AMD FreeSync and NVIDIA G-SYNC Compatible Gaming Monitor - 1ms | 144Hz Refresh (Display Port 1.2 & 2 x HDMI 2.0 Ports),Black",,,"DisplayPort Cable 6.6ft, iVANKY 4K DP Cable, DisplayPort 1.2 [4K@60Hz, 2K@165Hz, 2K@144Hz], Nylon…",/ivanky-DisplayPort-Braided-Display-Compatible/dp/B078HVDMW2/ref=pd_bxgy_2/137-7277705-8116613?_encoding=UTF8&pd_rd_i=B078HVDMW2&pd_rd_r=32e33c9a-7a37-48d3-8ac9-c1d050431ec4&pd_rd_w=YqkIS&pd_rd_wg=pMgbU&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=6MZ58PREAWM8VAD7K13Y&psc=1&refRID=6MZ58PREAWM8VAD7K13Y,https://www.amazon.com//Acer-XF270H-Bbmiiprx-FREESYNC-Technology/product-reviews/B07G3YRT4H/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,No,,,,,Acer,,,,1920 x 1080 Pixels,,,,,,,,,,,,,,Black,,,B07G3YRT4H,,,,,,,,24.17 x 9.64 x 15.63 inches,17.68 pounds,4.6,,,,,,,,Windows,,,,,,,"#4,874 in Electronics ( See Top 100 in Electronics ) #284 in Computer Monitors",1 Lithium ion batteries required.,,XF270H Bbmiiprx,,,,,,,,,"August 6, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.17 x 9.64 x 15.63 inches,,,,27 Inches,,,,,,,,Acer
234,"Ergotron – LX Desk Monitor Arm – 25-Inch Extension, Polished Aluminum","Ergotron, Inc",https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2CJEN0Z794UK2&isAmazonFulfilled=1,,,https://www.amazon.com//LX-Desk-Mount-LCD-Arm/product-reviews/B00358RIRC/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,No,,,,,Ergotron,,,,,,,,,,,,,,,7025-01-609-8368,,,Polished Aluminum,,,B00358RIRC,,,,,"8"" High",,,22.2 x 9.9 x 5.6 inches,7.92 pounds,4.7,,,,,,,,,,,,,,,"#6,511 in Office Products ( See Top 100 in Office Products ) #119 in Monitor Arms & Monitor Stands",,,45-241-026,,,,,,,,,"January 20, 2010",,,,,,,,1.0,,,,,,,METAL,,,,,,,,,,,,,,,,,,,,,,,,,45-241-026,,,,Ergotron
235,LG 22MN430M-B 22” Full HD IPS Monitor with FreeSync - Black,,,"Rankie DisplayPort (DP) to HDMI Cable, 4K Resolution Ready, 6 Feet",/Rankie-DisplayPort-Cable-Resolution-Ready/dp/B00Z05JMKO/ref=pd_bxgy_2/145-2255124-6981864?_encoding=UTF8&pd_rd_i=B00Z05JMKO&pd_rd_r=6c4b0dfd-f95e-4046-b893-47842412780e&pd_rd_w=WKgD5&pd_rd_wg=A8TyF&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=D8K0AJW89F613XD0VRDW&psc=1&refRID=D8K0AJW89F613XD0VRDW,https://www.amazon.com//LG-22MN430M-B-FHD-IPS-Monitor/product-reviews/B0859NQH3F/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,LG,,,,1920 x 1080 Pixels,,,,,,,,,,,,,,Black,,,B0859NQH3F,,,,,,,,20.1 x 7.2 x 15.6 inches,6.2 pounds,4.4,,,,,,,,,,,,,,,"#46,249 in Electronics ( See Top 100 in Electronics ) #1,329 in Computer Monitors",,,,,,,,,,,,"February 28, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1 x 7.2 x 15.6 inches,,,,21.5 Inches,,,,,,,,LG
236,"4K Portable Monitor Touchscreen, UPERFECT Gravity Sensor Automatic Rotate 15.6'' Slimmest 10-Point Touch UHD 3840x2160 Dual USB C Monitor Bracket Integrated & Frameless Bezel Glass HD Laptop Display",UPERFECT Electronic Store,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1KPMVH6IS26V&isAmazonFulfilled=1,,,https://www.amazon.com//Touchscreen-UPERFECT-Automatic-3840x2160-Integrated/product-reviews/B083ZFG1PF/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,No,,,,,UPERFECT,,,,,,,,,,,,,,,,,,,,,B083ZFG1PF,,,,,,,,13.9 x 8.7 x 0.5 inches,2.05 pounds,4.4,,,,,,,,,,,,,,,"#11,153 in Electronics ( See Top 100 in Electronics ) #511 in Computer Monitors",,,MDS-156F13,,,,,,,,,"January 16, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
